,precision,recall,f1-score,support
freshapples,0.9899497487437185,0.9974683544303797,0.9936948297604036,395.0
freshbanana,0.9973821989528796,1.0,0.9986893840104849,381.0
freshoranges,0.9973958333333334,0.9871134020618557,0.9922279792746114,388.0
rottenapples,0.9950248756218906,0.9983361064891847,0.9966777408637874,601.0
rottenbanana,1.0,1.0,1.0,530.0
rottenoranges,0.9925187032418953,0.9875930521091811,0.9900497512437811,403.0
accuracy,0.9955522609340252,0.9955522609340252,0.9955522609340252,0.9955522609340252
macro avg,0.9953785599822863,0.9950851525151002,0.9952232808588447,2698.0
weighted avg,0.9955586877477351,0.9955522609340252,0.9955477913388745,2698.0
