,precision,recall,f1-score,support
freshapples,0.9182242990654206,0.9949367088607595,0.9550425273390036,395.0
freshbanana,0.9921875,1.0,0.996078431372549,381.0
freshoranges,0.9382716049382716,0.979381443298969,0.9583858764186634,388.0
rottenapples,0.9961538461538462,0.8618968386023295,0.9241748438893844,601.0
rottenbanana,0.9706422018348624,0.9981132075471698,0.9841860465116279,530.0
rottenoranges,0.9278846153846154,0.9578163771712159,0.9426129426129426,403.0
accuracy,0.9588584136397331,0.9588584136397331,0.9588584136397331,0.9588584136397331
macro avg,0.957227344562836,0.9653574292467407,0.9600801113573619,2698.0
weighted avg,0.9606514999473051,0.9588584136397331,0.9583106384002918,2698.0
