,freshapples,freshbanana,freshoranges,rottenapples,rottenbanana,rottenoranges
freshapples,394,1,0,0,0,0
freshbanana,0,381,0,0,0,0
freshoranges,2,0,383,0,0,3
rottenapples,1,0,0,600,0,0
rottenbanana,0,0,0,0,530,0
rottenoranges,1,0,1,3,0,398
